AI课ID,使用模型类型,知识库资源个数,是否24年开设,平台ID,课程名称,教学班ID,教学班所属院系,主讲教师ID,班级正式学生人数,雨课堂日均开课时长（班级开课总时长/开课天数）,布置作业个数,作业在成绩中占比,布置考试个数,考试在成绩中占比,起始时间,结束时间,持续多少周,调整原因
EGZsMzT,DeepSeek-R1,553,是,dICENFqTq,核辐射物理及探测学,2GwjUPwhXmWU,工物系,1yGLyZS97aYeE,72,1:48:08,0,0.0,28,0.5,2025-02-17 00:00:00,2025-06-22 00:00:00,18,使用学校统一时间
EGZsMzT,DeepSeek-R1,553,是,dICENFqTq,核辐射物理及探测学,2GwjUPwhXmWV,工物系,2GwjUPrx5d1N,93,2:22:04,0,0.6,30,0.0,2025-02-17 00:00:00,2025-06-22 00:00:00,18,使用学校统一时间
nCXGIctS,DeepSeek-R1,35,否,dICENFqTq,心理测量,2GwjUPwhXnCa,社科学院,1yGLyZS93xGPU,19,6:20:47,5,0.8,1,0.0,2025-02-17 00:00:00,2025-06-22 00:00:00,18,使用学校统一时间
nCXGIcuA,DeepSeek-R1,4,否,dICENFqTq,环境数据处理与数学模型,2GwjUPwhXokf,环境学院,1yGLyZS93x5Ml,22,2:43:14,0,0.1,1,0.3,2025-02-17 00:00:00,2025-06-22 00:00:00,18,使用学校统一时间
nCXGIcrB,GPT-4o,61,否,dICENFqTq,多元统计分析,2GwjUPwhXoCj,统计系,1yGLyZS93vSWp,26,3:01:49,0,0.1,1,0.3,2025-02-17 00:00:00,2025-06-22 00:00:00,18,使用学校统一时间
nCXGIcrB,GPT-4o,61,否,dICENFqTq,多元统计分析,2GwjUPwhXoCM,统计系,1yGLyZS93vSWp,81,2:55:24,0,0.1,1,0.3,2025-02-17 00:00:00,2025-06-22 00:00:00,18,使用学校统一时间
EGZsMC7,thu-glm,114,否,dICENFqTq,课程与教学：理论与应用,2GwjUPwhXyMQ,教研院,2GwjUPtQiEBa,19,3:25:08,0,0.1,9,0.3,2025-02-17 00:00:00,2025-06-22 00:00:00,18,使用学校统一时间
EGZsMzT,DeepSeek-R1,553,是,dICENFqTq,中子探测与测量,2GwjUPwhXAKh,工物系,2GwjUPrx5d1N,13,1:45:32,0,0.1,8,0.3,2025-02-17 00:00:00,2025-06-22 00:00:00,18,使用学校统一时间
nCXGIctS,DeepSeek-R1,35,否,dICENFqTq,高级心理测量,2GwjUPwhXMAK,心理系,1yGLyZS93xGPU,7,4:36:09,6,0.1,0,0.3,2025-02-17 00:00:00,2025-06-22 00:00:00,18,使用学校统一时间
nCXGIcpQ,GPT-4o,197,是,dICENFqTq,博士生英语,2GwjUPwi32yE,语言中心,1yGLyZS93qCdq,32,2:46:59,2,0.3,0,0.3,2025-02-17 00:00:00,2025-06-22 00:00:00,18,使用学校统一时间
1OqoJs8grTtmB,DeepSeek-R1,36,否,1OqoJs8grTQgV,金属热处理工艺学（卓）,cMjRU6IPKlMTnBBO,,cMjRU6IPKoqrANIm,15,0:00:00,9,0.1,0,0.3,2025-02-24 00:00:00,2025-07-13 00:00:00,20,使用学校统一时间
